ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
9.1.0,true,wazuh,wazuh.agent.configuration.content.azure-logs.content.account_key,keyword,custom,,,Agent module configuration: azure-logs.content.account_key.
9.1.0,true,wazuh,wazuh.agent.configuration.content.azure-logs.content.account_name,keyword,custom,,,Agent module configuration: azure-logs.content.account_name.
9.1.0,true,wazuh,wazuh.agent.configuration.content.azure-logs.content.application_id,keyword,custom,,,Agent module configuration: azure-logs.content.application_id.
9.1.0,true,wazuh,wazuh.agent.configuration.content.azure-logs.content.application_key,keyword,custom,,,Agent module configuration: azure-logs.content.application_key.
9.1.0,true,wazuh,wazuh.agent.configuration.content.azure-logs.content.auth_path,keyword,custom,,,Agent module configuration: azure-logs.content.auth_path.
9.1.0,true,wazuh,wazuh.agent.configuration.content.azure-logs.content.tag,keyword,custom,,,Agent module configuration: azure-logs.content.tag.
9.1.0,true,wazuh,wazuh.agent.configuration.content.azure-logs.content.tenantdomain,keyword,custom,,,Agent module configuration: azure-logs.content.tenantdomain.
9.1.0,true,wazuh,wazuh.agent.configuration.content.azure-logs.content.type,keyword,custom,,,Agent module configuration: azure-logs.content.type.
9.1.0,true,wazuh,wazuh.agent.configuration.content.azure-logs.day,long,custom,,,Agent module configuration: azure-logs.day.
9.1.0,true,wazuh,wazuh.agent.configuration.content.azure-logs.disabled,keyword,custom,,,Agent module configuration: azure-logs.disabled.
9.1.0,true,wazuh,wazuh.agent.configuration.content.azure-logs.interval,long,custom,,,Agent module configuration: azure-logs.interval.
9.1.0,true,wazuh,wazuh.agent.configuration.content.azure-logs.run_on_start,keyword,custom,,,Agent module configuration: azure-logs.run_on_start.
9.1.0,true,wazuh,wazuh.agent.configuration.content.azure-logs.time,keyword,custom,,,Agent module configuration: azure-logs.time.
9.1.0,true,wazuh,wazuh.agent.configuration.content.azure-logs.timeout,long,custom,,,Agent module configuration: azure-logs.timeout.
9.1.0,true,wazuh,wazuh.agent.configuration.content.azure-logs.wday,keyword,custom,,,Agent module configuration: azure-logs.wday.
9.1.0,true,wazuh,wazuh.agent.configuration.content.command.command,keyword,custom,,,Agent module configuration: command.command.
9.1.0,true,wazuh,wazuh.agent.configuration.content.command.day,long,custom,,,Agent module configuration: command.day.
9.1.0,true,wazuh,wazuh.agent.configuration.content.command.disabled,keyword,custom,,,Agent module configuration: command.disabled.
9.1.0,true,wazuh,wazuh.agent.configuration.content.command.ignore_output,keyword,custom,,,Agent module configuration: command.ignore_output.
9.1.0,true,wazuh,wazuh.agent.configuration.content.command.interval,long,custom,,,Agent module configuration: command.interval.
9.1.0,true,wazuh,wazuh.agent.configuration.content.command.run_on_start,keyword,custom,,,Agent module configuration: command.run_on_start.
9.1.0,true,wazuh,wazuh.agent.configuration.content.command.skip_verification,keyword,custom,,,Agent module configuration: command.skip_verification.
9.1.0,true,wazuh,wazuh.agent.configuration.content.command.tag,keyword,custom,,,Agent module configuration: command.tag.
9.1.0,true,wazuh,wazuh.agent.configuration.content.command.time,keyword,custom,,,Agent module configuration: command.time.
9.1.0,true,wazuh,wazuh.agent.configuration.content.command.verify_md5,keyword,custom,,,Agent module configuration: command.verify_md5.
9.1.0,true,wazuh,wazuh.agent.configuration.content.command.verify_sha1,keyword,custom,,,Agent module configuration: command.verify_sha1.
9.1.0,true,wazuh,wazuh.agent.configuration.content.command.verify_sha256,keyword,custom,,,Agent module configuration: command.verify_sha256.
9.1.0,true,wazuh,wazuh.agent.configuration.content.command.wday,keyword,custom,,,Agent module configuration: command.wday.
9.1.0,true,wazuh,wazuh.agent.configuration.content.docker-listener.attempts,long,custom,,,Agent module configuration: docker-listener.attempts.
9.1.0,true,wazuh,wazuh.agent.configuration.content.docker-listener.day,long,custom,,,Agent module configuration: docker-listener.day.
9.1.0,true,wazuh,wazuh.agent.configuration.content.docker-listener.disabled,keyword,custom,,,Agent module configuration: docker-listener.disabled.
9.1.0,true,wazuh,wazuh.agent.configuration.content.docker-listener.interval,long,custom,,,Agent module configuration: docker-listener.interval.
9.1.0,true,wazuh,wazuh.agent.configuration.content.docker-listener.run_on_start,keyword,custom,,,Agent module configuration: docker-listener.run_on_start.
9.1.0,true,wazuh,wazuh.agent.configuration.content.docker-listener.time,keyword,custom,,,Agent module configuration: docker-listener.time.
9.1.0,true,wazuh,wazuh.agent.configuration.content.docker-listener.wday,keyword,custom,,,Agent module configuration: docker-listener.wday.
9.1.0,true,wazuh,wazuh.agent.configuration.content.execd.active-response.disabled,keyword,custom,,,Agent module configuration: execd.active-response.disabled.
9.1.0,true,wazuh,wazuh.agent.configuration.content.execd.active-response.repeated_offenders,long,custom,,,Agent module configuration: execd.active-response.repeated_offenders.
9.1.0,true,wazuh,wazuh.agent.configuration.content.execd.internal.execd.max_restart_lock,long,custom,,,Agent module configuration: execd.internal.execd.max_restart_lock.
9.1.0,true,wazuh,wazuh.agent.configuration.content.execd.internal.execd.request_timeout,long,custom,,,Agent module configuration: execd.internal.execd.request_timeout.
9.1.0,true,wazuh,wazuh.agent.configuration.content.execd.logging.json,keyword,custom,,,Agent module configuration: execd.logging.json.
9.1.0,true,wazuh,wazuh.agent.configuration.content.execd.logging.plain,keyword,custom,,,Agent module configuration: execd.logging.plain.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.internal.rootcheck.sleep,long,custom,,,Agent module configuration: fim.internal.rootcheck.sleep.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.internal.syscheck.debug,long,custom,,,Agent module configuration: fim.internal.syscheck.debug.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.internal.syscheck.default_max_depth,long,custom,,,Agent module configuration: fim.internal.syscheck.default_max_depth.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.internal.syscheck.file_max_size,long,custom,,,Agent module configuration: fim.internal.syscheck.file_max_size.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.internal.syscheck.max_audit_entries,long,custom,,,Agent module configuration: fim.internal.syscheck.max_audit_entries.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.internal.syscheck.max_fd_win_rt,long,custom,,,Agent module configuration: fim.internal.syscheck.max_fd_win_rt.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.internal.syscheck.rt_delay,long,custom,,,Agent module configuration: fim.internal.syscheck.rt_delay.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.internal.syscheck.symlink_scan_interval,long,custom,,,Agent module configuration: fim.internal.syscheck.symlink_scan_interval.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.rootcheck.base_directory,keyword,custom,,,Agent module configuration: fim.rootcheck.base_directory.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.rootcheck.check_dev,keyword,custom,,,Agent module configuration: fim.rootcheck.check_dev.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.rootcheck.check_if,keyword,custom,,,Agent module configuration: fim.rootcheck.check_if.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.rootcheck.check_pids,keyword,custom,,,Agent module configuration: fim.rootcheck.check_pids.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.rootcheck.check_ports,keyword,custom,,,Agent module configuration: fim.rootcheck.check_ports.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.rootcheck.check_sys,keyword,custom,,,Agent module configuration: fim.rootcheck.check_sys.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.rootcheck.disabled,keyword,custom,,,Agent module configuration: fim.rootcheck.disabled.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.rootcheck.frequency,long,custom,,,Agent module configuration: fim.rootcheck.frequency.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.rootcheck.ignore,keyword,custom,,,Agent module configuration: fim.rootcheck.ignore.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.rootcheck.ignore_sregex,keyword,custom,,,Agent module configuration: fim.rootcheck.ignore_sregex.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.rootcheck.scanall,keyword,custom,,,Agent module configuration: fim.rootcheck.scanall.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.rootcheck.skip_nfs,keyword,custom,,,Agent module configuration: fim.rootcheck.skip_nfs.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.syscheck.diff.disk_quota.enabled,keyword,custom,,,Agent module configuration: fim.syscheck.diff.disk_quota.enabled.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.syscheck.diff.disk_quota.limit,long,custom,,,Agent module configuration: fim.syscheck.diff.disk_quota.limit.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.syscheck.diff.file_size.enabled,keyword,custom,,,Agent module configuration: fim.syscheck.diff.file_size.enabled.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.syscheck.diff.file_size.limit,long,custom,,,Agent module configuration: fim.syscheck.diff.file_size.limit.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.syscheck.directories.diff_size_limit,long,custom,,,Agent module configuration: fim.syscheck.directories.diff_size_limit.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.syscheck.directories.dir,keyword,custom,,,Agent module configuration: fim.syscheck.directories.dir.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.syscheck.directories.opts,keyword,custom,,,Agent module configuration: fim.syscheck.directories.opts.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.syscheck.directories.recursion_level,long,custom,,,Agent module configuration: fim.syscheck.directories.recursion_level.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.syscheck.directories.restrict,keyword,custom,,,Agent module configuration: fim.syscheck.directories.restrict.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.syscheck.directories.symbolic_link,keyword,custom,,,Agent module configuration: fim.syscheck.directories.symbolic_link.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.syscheck.directories.tags,keyword,custom,,,Agent module configuration: fim.syscheck.directories.tags.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.syscheck.disabled,keyword,custom,,,Agent module configuration: fim.syscheck.disabled.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.syscheck.file_limit.enabled,keyword,custom,,,Agent module configuration: fim.syscheck.file_limit.enabled.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.syscheck.file_limit.entries,long,custom,,,Agent module configuration: fim.syscheck.file_limit.entries.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.syscheck.frequency,long,custom,,,Agent module configuration: fim.syscheck.frequency.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.syscheck.ignore,keyword,custom,,,Agent module configuration: fim.syscheck.ignore.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.syscheck.ignore_sregex,keyword,custom,,,Agent module configuration: fim.syscheck.ignore_sregex.
9.1.0,true,wazuh,wazuh.agent.configuration.content.fim.syscheck.key_ignore.arch,keyword,custom,,,Agent module configuration: fim.syscheck.key_ignore.arch.
